"Frequency","Power"
2.97557e+09,-106.693
2.97558e+09,-106.547
2.97558e+09,-106.377
2.97558e+09,-106.342
2.97558e+09,-106.511
2.97558e+09,-106.768
2.97558e+09,-106.713
2.97559e+09,-106.375
2.97559e+09,-106.361
2.97559e+09,-106.82
2.97559e+09,-107.265
2.97559e+09,-107.532
2.97559e+09,-107.291
2.97559e+09,-106.742
2.9756e+09,-106.376
2.9756e+09,-106.171
2.9756e+09,-106.16
2.9756e+09,-106.127
2.9756e+09,-106.022
2.9756e+09,-106.158
2.97561e+09,-106.311
2.97561e+09,-106.481
2.97561e+09,-106.811
2.97561e+09,-106.953
2.97561e+09,-106.737
2.97561e+09,-106.727
2.97561e+09,-106.603
2.97562e+09,-106.423
2.97562e+09,-106.638
2.97562e+09,-106.681
2.97562e+09,-106.554
2.97562e+09,-106.573
2.97562e+09,-106.846
2.97563e+09,-107.416
2.97563e+09,-107.507
2.97563e+09,-106.974
2.97563e+09,-106.755
2.97563e+09,-106.677
2.97563e+09,-106.585
2.97563e+09,-106.426
2.97564e+09,-106.473
2.97564e+09,-106.853
2.97564e+09,-107.268
2.97564e+09,-107.663
2.97564e+09,-107.726
2.97564e+09,-107.46
2.97565e+09,-107.246
2.97565e+09,-107.256
2.97565e+09,-107.072
2.97565e+09,-106.77
2.97565e+09,-106.444
2.97565e+09,-106.515
2.97565e+09,-106.819
2.97566e+09,-107.02
2.97566e+09,-107.059
2.97566e+09,-106.888
2.97566e+09,-106.73
2.97566e+09,-106.611
2.97566e+09,-106.789
2.97567e+09,-107.052
2.97567e+09,-107.335
2.97567e+09,-107.519
2.97567e+09,-107.17
2.97567e+09,-106.902
2.97567e+09,-106.947
2.97567e+09,-106.93
2.97568e+09,-107.245
2.97568e+09,-107.395
2.97568e+09,-107.346
2.97568e+09,-107.511
2.97568e+09,-107.386
2.97568e+09,-107.078
2.97569e+09,-106.904
2.97569e+09,-106.568
2.97569e+09,-106.455
2.97569e+09,-106.768
2.97569e+09,-107.099
2.97569e+09,-106.924
2.97569e+09,-106.74
2.9757e+09,-106.583
2.9757e+09,-106.467
2.9757e+09,-106.383
2.9757e+09,-106.292
2.9757e+09,-106.42
2.9757e+09,-106.578
2.97571e+09,-106.722
2.97571e+09,-106.724
2.97571e+09,-106.559
